posX	posY	pressure	movementX	movementY	time
732.134765625	510.84283447265625	0.06666667014360428	0	0	-2210.5000000447035
722.6791381835938	498.6767272949219	0.06666667014360428	-7	-9	-1866.7000000132248
707.8203125	477.0481262207031	0.06666667014360428	-11	-16	-1849.999999976717
647.0342407226562	424.3283386230469	0.06666667014360428	-45	-39	-1809.000000008382
614.6149291992188	404.0514831542969	0.06666667014360428	-24	-15	-1791.5000000502914
594.3529663085938	395.9407043457031	0.06666667014360428	-15	-6	-1782.4000000255182
549.7764892578125	379.7193298339844	0.06666667014360428	-33	-12	-1766.5000000270084
502.4984130859375	370.2568054199219	0.06666667014360428	-35	-7	-1749.900000053458
449.81707763671875	366.201416015625	0.06666667014360428	-39	-3	-1733.20000001695
395.7850341796875	370.2568054199219	0.06666667014360428	-40	3	-1716.4000000339001
320.1401062011719	397.29254150390625	0.06666667014360428	-56	20	-1699.7999999439344
264.7572326660156	432.4390869140625	0.06666667014360428	-41	26	-1683.3000000333413
212.07595825195312	477.0481262207031	0.06666667014360428	-39	33	-1666.5999999968335
164.7978515625	529.7678833007812	0.06666667014360428	-35	39	-1650.000000023283
136.43101501464844	582.4876708984375	0.06666667014360428	-21	39	-1633.2999999867752
118.87059020996094	640.6146240234375	0.06666667014360428	-13	43	-1616.7000000132248
101.31016540527344	704.1486206054688	0.06666667014360428	-13	47	-1599.7999999672174
93.20535278320312	771.7381591796875	0.06666667014360428	-6	50	-1583.299999940209
93.20535278320312	843.3829345703125	0.06666667014360428	0	53	-1566.6000000201166
108.06417083740234	915.0276489257812	0.06666667014360428	11	53	-1549.8999999836087
133.7294158935547	983.9689331054688	0.06666667014360428	19	51	-1533.3999999566004
172.90267944335938	1046.1512451171875	0.06666667014360428	29	46	-1516.7000000365078
220.1807403564453	1105.6300048828125	0.06666667014360428	35	44	-1499.7999999905005
314.7369079589844	1193.4962158203125	0.06666667014360428	70	65	-1482.8999999444932
733.485595703125	798.7738647460938	0.03921568766236305	0	0	-1319.7999999392778
732.134765625	786.6077880859375	0.03921568766236305	-1	-9	-1299.8999999836087
728.082275390625	729.8326416015625	0.03921568766236305	-3	-42	-1283.3000000100583
725.3807373046875	662.2431640625	0.03921568766236305	-2	-50	-1266.5000000270084
717.2759399414062	593.3019409179688	0.03921568766236305	-6	-51	-1249.7999999905005
686.2074584960938	504.0838928222656	0.03921568766236305	-23	-66	-1232.8999999444932
645.6834106445312	460.8266296386719	0.03921568766236305	-30	-32	-1216.6999999899417
591.6513671875	435.1426086425781	0.03921568766236305	-40	-19	-1199.9999999534339
536.2684326171875	420.2729797363281	0.03921568766236305	-41	-11	-1183.3999999798834
483.5871887207031	416.2175598144531	0.03921568766236305	-39	-3	-1166.5999999968335
428.2042541503906	417.56939697265625	0.03921568766236305	-41	1	-1150.000000023283
374.1722106933594	427.03192138671875	0.03921568766236305	-40	7	-1133.2999999867752
328.24493408203125	444.6051940917969	0.03921568766236305	-34	13	-1116.7000000132248
282.3176574707031	474.3445129394531	0.03921568766236305	-34	22	-1100.1000000396743
235.03956604003906	516.25	0.03921568766236305	-35	31	-1083.4000000031665
191.8139190673828	573.0250854492188	0.03921568766236305	-32	42	-1066.800000029616
151.2898406982422	643.318115234375	0.03921568766236305	-30	52	-1049.8999999836087
122.92300415039062	717.6665649414062	0.03921568766236305	-21	55	-1033.1999999471009
97.25775909423828	831.2168579101562	0.03921568766236305	-19	84	-1016.399999964051
93.20535278320312	902.8616333007812	0.03921568766236305	-3	53	-1000.0999999465421
104.01175689697266	966.3956298828125	0.03921568766236305	8	47	-983.2999999634922
129.677001953125	1025.87451171875	0.03921568766236305	19	44	-966.6999999899417
166.14865112304688	1079.9459228515625	0.03921568766236305	27	40	-949.9999999534339
206.6727294921875	1120.499755859375	0.03921568766236305	30	30	-933.3000000333413
255.30162048339844	1151.5908203125	0.03921568766236305	36	23	-916.5999999968335
318.789306640625	1174.5712890625	0.03921568766236305	47	17	-900.0000000232831
386.3294372558594	1186.7371826171875	0.03921568766236305	50	9	-883.2999999867752
456.5711364746094	1186.7371826171875	0.03921568766236305	52	0	-866.5999999502674
530.8651733398438	1178.6265869140625	0.03921568766236305	55	-6	-856.000000028871
736.1871948242188	939.35986328125	0.062745101749897	0	0	-797.7999999420717
760.5015869140625	871.7705688476562	0.062745101749897	18	-50	-766.7999999830499
776.7112426757812	801.4774169921875	0.062745101749897	12	-52	-749.7999999905005
786.1668701171875	732.5361328125	0.062745101749897	7	-51	-733.0999999539927
786.1668701171875	664.9468383789062	0.062745101749897	0	-50	-716.2999999709427
775.3604125976562	596.0055541992188	0.062745101749897	-8	-51	-699.7999999439344
753.74755859375	528.4161376953125	0.062745101749897	-16	-50	-683.3999999798834
717.2759399414062	468.9373779296875	0.062745101749897	-27	-44	-666.6999999433756
672.699462890625	427.03192138671875	0.062745101749897	-33	-31	-650.0999999698251
621.3689575195312	398.64434814453125	0.062745101749897	-38	-21	-633.4999999962747
565.986083984375	379.7193298339844	0.062745101749897	-41	-14	-616.7000000132248
511.9539489746094	374.3121337890625	0.062745101749897	-40	-4	-600.1000000396743
459.2727355957031	379.7193298339844	0.062745101749897	-39	4	-583.199999993667
402.5390625	406.7550964355469	0.062745101749897	-42	20	-566.6999999666587
340.4021301269531	456.7712707519531	0.062745101749897	-46	37	-549.6999999741092
279.61602783203125	520.3052978515625	0.062745101749897	-45	47	-533.1999999471009
205.32192993164062	644.669921875	0.062745101749897	-55	92	-516.5000000270084
174.2534942626953	725.7771606445312	0.062745101749897	-23	60	-500.0
