posX	posY	pressure	movementX	movementY	time
716.6743774414062	593.5408935546875	0.0941176563501358	0	0	0.0
715.3171997070312	590.82421875	0.0941176563501358	-1	-2	110.80000002402812
711.2450561523438	584.0325317382812	0.0941176563501358	-3	-5	127.60000000707805
704.4583740234375	574.5242309570312	0.0941176563501358	-5	-7	144.70000006258488
665.0955810546875	537.849365234375	0.0941176563501358	-29	-27	180.00000005122274
624.37548828125	512.0410766601562	0.0941176563501358	-30	-19	207.0000000530854
564.652587890625	493.02447509765625	0.0941176563501358	-44	-14	227.40000009071082
519.8604736328125	484.8744812011719	0.0941176563501358	-33	-6	244.10000001080334
470.99627685546875	480.7995300292969	0.0941176563501358	-36	-3	260.7000001007691
415.3454284667969	486.23284912109375	0.0941176563501358	-41	4	277.4000000208616
356.9798889160156	506.6077880859375	0.0941176563501358	-43	15	293.99999999441206
306.7583923339844	543.28271484375	0.0941176563501358	-37	27	310.7000000309199
260.60888671875	586.749267578125	0.0941176563501358	-34	32	327.40000006742775
226.6754608154297	635.6491088867188	0.0941176563501358	-25	36	344.0000000409782
206.3153839111328	687.2655639648438	0.0941176563501358	-15	38	360.70000007748604
180.5259552001953	736.1654663085938	0.0941176563501358	-19	36	377.3000000510365
162.8805389404297	783.70703125	0.0941176563501358	-13	35	394.1000000340864
160.16587829589844	863.8484497070312	0.0941176563501358	-2	59	410.80000007059425
169.667236328125	922.2566528320312	0.0941176563501358	7	43	427.5000001071021
188.66998291015625	983.3814086914062	0.0941176563501358	14	45	444.00000001769513
222.6034393310547	1044.5062255859375	0.0941176563501358	25	45	460.700000054203
261.9662170410156	1101.55615234375	0.0941176563501358	29	42	477.3000000277534
309.47308349609375	1149.09765625	0.0941176563501358	35	35	494.00000006426126
358.3371887207031	1181.697509765625	0.0941176563501358	36	24	510.7000001007691
409.9161071777344	1202.072509765625	0.0941176563501358	38	15	527.4000000208616
460.1376037597656	1214.2974853515625	0.0941176563501358	37	9	543.9999999944121
507.6444396972656	1211.580810546875	0.0941176563501358	35	-2	560.6000000843778
559.2232666015625	1188.4892578125	0.0941176563501358	38	-17	577.4000000674278
606.7301025390625	1142.3060302734375	0.0941176563501358	35	-34	594.0000000409782
637.9489135742188	1083.8978271484375	0.0941176563501358	23	-43	610.700000077486
665.0955810546875	1022.7730712890625	0.0941176563501358	20	-45	627.3999999975786
686.81298828125	960.2899169921875	0.0941176563501358	16	-46	644.1000000340864
700.386474609375	867.9235229492188	0.0941176563501358	10	-68	660.7000000076368
700.386474609375	808.156982421875	0.0941176563501358	0	-44	677.3000000976026
697.671630859375	744.3154296875	0.0941176563501358	-2	-47	694.1000000806525
690.8850708007812	676.3989868164062	0.0941176563501358	-5	-50	710.700000054203
673.2396240234375	609.8407592773438	0.0941176563501358	-13	-49	727.4000000907108
644.735595703125	551.4326171875	0.0941176563501358	-21	-43	744.0000000642613
604.0154418945312	507.966064453125	0.0941176563501358	-30	-32	760.8000000473112
549.7218627929688	486.23284912109375	0.0941176563501358	-40	-16	777.4000000208616
484.5696716308594	497.0994567871094	0.0941176563501358	-48	8	794.1000000573695
405.84405517578125	537.849365234375	0.0941176563501358	-58	30	810.7000000309199
329.8331298828125	600.33251953125	0.0941176563501358	-56	46	827.9000000329688
267.3955993652344	670.9656372070312	0.0941176563501358	-46	52	844.1000001039356
219.8887481689453	740.240478515625	0.0941176563501358	-35	51	860.6000000145286
188.66998291015625	804.0819702148438	0.0941176563501358	-23	47	877.3999999975786
172.38192749023438	867.9235229492188	0.0941176563501358	-12	47	894.3000000435859
179.16859436035156	972.5147094726562	0.0941176563501358	5	77	910.7000000076368
213.10208129882812	1051.2978515625	0.0941176563501358	25	58	927.4000000441447
270.1102294921875	1131.4393310546875	0.0941176563501358	42	59	944.0000000176951
336.61981201171875	1196.6392822265625	0.0941176563501358	49	48	960.700000054203
438.4201965332031	1263.197265625	0.0941176563501358	75	49	977.4000000907108
519.8604736328125	1267.2723388671875	0.0941176563501358	60	3	994.1000000108033
599.9434204101562	1245.5390625	0.0941176563501358	59	-16	1010.7000001007691
677.3117065429688	749.7488403320312	0.06666667014360428	0	0	1097.7000000420958
677.3117065429688	747.0321655273438	0.06666667014360428	0	-2	1110.6000000145286
675.9542846679688	696.77392578125	0.06666667014360428	-1	-37	1128.000000026077
671.8822631835938	653.307373046875	0.06666667014360428	-3	-32	1134.000000078231
665.0955810546875	612.5574951171875	0.06666667014360428	-5	-30	1144.800000009127
632.5195922851562	518.832763671875	0.06666667014360428	-24	-69	1161.5000000456348
589.084716796875	483.5162048339844	0.06666667014360428	-32	-26	1177.6000000536442
529.3618774414062	474.0079040527344	0.06666667014360428	-44	-7	1194.0000000176951
461.4949035644531	490.3078308105469	0.06666667014360428	-50	12	1210.700000054203
386.8413391113281	536.4910278320312	0.06666667014360428	-55	34	1227.500000037253
314.90240478515625	598.9742431640625	0.06666667014360428	-53	46	1244.2000000737607
256.5368957519531	660.0990600585938	0.06666667014360428	-43	45	1260.700000100769
215.81674194335938	721.223876953125	0.06666667014360428	-30	45	1277.4000000208616
185.95529174804688	782.3485717773438	0.06666667014360428	-22	45	1294.1000000573695
169.667236328125	848.9066772460938	0.06666667014360428	-12	49	1310.8000000938773
164.2379150390625	923.6149291992188	0.06666667014360428	-4	55	1327.4000000674278
172.38192749023438	1005.11474609375	0.06666667014360428	6	60	1344.1000001039356
196.8140106201172	1082.53955078125	0.06666667014360428	18	57	1360.8000000240281
242.96351623535156	1149.09765625	0.06666667014360428	34	49	1377.600000007078
291.8276672363281	1193.922607421875	0.06666667014360428	36	33	1394.2000000970438
374.6253356933594	1231.955810546875	0.06666667014360428	61	28	1410.8000000705943
432.99078369140625	1242.822509765625	0.06666667014360428	43	8	1427.500000107102
532.0765380859375	1230.5975341796875	0.06666667014360428	73	-9	1444.1000000806525
552.4365844726562	1214.2974853515625	0.06666667014360428	15	-12	1460.800000000745
618.9461669921875	1166.755859375	0.06666667014360428	49	-35	1477.4000000907108
