posX	posY	pressure	movementX	movementY	time
718.103759765625	539.2302856445312	0.0784313753247261	0	0	0.0
716.7528686523438	535.175048828125	0.0784313753247261	-1	-3	99.0000000456348
715.4022216796875	529.7678833007812	0.0784313753247261	-1	-4	101.90000000875443
712.7005615234375	517.6017456054688	0.0784313753247261	-2	-9	115.80000002868474
709.9990234375	506.7874755859375	0.0784313753247261	-2	-8	123.4000000404194
696.490966796875	475.6963195800781	0.0784313753247261	-10	-23	137.89999997243285
684.3336791992188	458.123046875	0.0784313753247261	-9	-13	149.60000000428408
634.35400390625	417.56939697265625	0.0784313753247261	-37	-30	166.7000000597909
591.1282958984375	397.29254150390625	0.0784313753247261	-32	-15	182.2000000393018
542.49951171875	386.4782409667969	0.0784313753247261	-36	-8	198.80000001285225
491.1689758300781	383.77459716796875	0.0784313753247261	-38	-2	215.3999999864027
430.3829040527344	395.9407043457031	0.0784313753247261	-45	9	231.99999995995313
353.3871765136719	439.197998046875	0.0784313753247261	-57	32	248.69999999646097
279.09307861328125	498.6767272949219	0.0784313753247261	-55	44	265.4999999795109
219.6577606201172	564.9144287109375	0.0784313753247261	-44	49	282.09999995306134
176.4320831298828	631.152099609375	0.0784313753247261	-32	49	298.7999999895692
150.766845703125	697.3896484375	0.0784313753247261	-19	49	315.50000002607703
134.5572052001953	762.2755737304688	0.0784313753247261	-12	48	332.09999999962747
130.50482177734375	821.754150390625	0.0784313753247261	-3	44	348.8000000361353
137.2588348388672	879.8812255859375	0.0784313753247261	5	43	365.60000001918525
158.87164306640625	935.3045654296875	0.0784313753247261	16	41	382.3000000556931
230.4641876220703	1006.9494018554688	0.0784313753247261	53	53	398.7999999662861
288.5486755371094	1040.7440185546875	0.0784313753247261	43	25	415.50000000279397
354.7380065917969	1062.372802734375	0.0784313753247261	49	16	432.0999999763444
424.9796447753906	1077.2423095703125	0.0784313753247261	52	11	448.69999994989485
492.519775390625	1078.59423828125	0.0784313753247261	50	1	465.5000000493601
557.3583374023438	1067.7799072265625	0.0784313753247261	48	-8	482.10000002291054
619.4952392578125	1029.9298095703125	0.0784313753247261	46	-28	498.90000000596046
672.1764526367188	973.1546020507812	0.0784313753247261	39	-42	515.6000000424683
705.9465942382812	906.9170532226562	0.0784313753247261	25	-49	532.0999999530613
731.6116943359375	835.2721557617188	0.0784313753247261	19	-53	548.7999999895692
738.3657836914062	755.5166625976562	0.0784313753247261	5	-59	565.500000026077
730.260986328125	670.3538818359375	0.0784313753247261	-6	-63	582.0999999996275
715.4022216796875	593.3019409179688	0.0784313753247261	-11	-57	598.8999999826774
682.9828491210938	524.3607177734375	0.0784313753247261	-24	-51	615.6000000191852
642.4588012695312	467.5856018066406	0.0784313753247261	-30	-42	632.3000000556931
580.3219604492188	416.2175598144531	0.0784313753247261	-46	-38	648.9999999757856
531.6929931640625	404.0514831542969	0.0784313753247261	-36	-9	665.500000002794
477.6610107421875	405.4033203125	0.0784313753247261	-40	1	682.0999999763444
408.77008056640625	441.901611328125	0.0784313753247261	-51	27	698.8000000128523
341.2299499511719	508.1392517089844	0.0784313753247261	-50	49	715.5000000493601
285.8470764160156	582.4876708984375	0.0784313753247261	-41	55	732.1000000229105
241.27059936523438	660.8914184570312	0.0784313753247261	-33	58	748.8000000594184
215.60536193847656	736.5916137695312	0.0784313753247261	-19	56	765.4999999795109
203.44815063476562	802.8292846679688	0.0784313753247261	-9	49	782.2000000160187
199.39572143554688	860.9561767578125	0.0784313753247261	-3	43	798.9999999990687
206.14974975585938	913.6759643554688	0.0784313753247261	5	39	815.7000000355765
230.4641876220703	963.6920776367188	0.0784313753247261	18	37	832.2000000625849
269.637451171875	1009.6529541015625	0.0784313753247261	29	34	848.8000000361353
322.3186950683594	1047.5030517578125	0.0784313753247261	39	28	865.6000000191852
415.5240783691406	1084.0013427734375	0.0784313753247261	69	27	882.5000000651926
480.3625793457031	1096.16748046875	0.0784313753247261	48	9	898.7999999662861
539.7978515625	1093.4638671875	0.0784313753247261	44	-2	915.599999949336
669.474853515625	785.2560424804688	0.06666667014360428	0	0	988.2000000216067
669.474853515625	783.9041137695312	0.06666667014360428	0	-1	998.699999996461
662.7208251953125	744.7023315429688	0.06666667014360428	-5	-29	1015.4999999795109
649.2128295898438	669.0021362304688	0.06666667014360428	-10	-56	1032.2999999625608
630.3015747070312	600.0609130859375	0.06666667014360428	-14	-51	1048.9000000525266
597.8823852539062	544.6375122070312	0.06666667014360428	-24	-41	1066.6999999666587
558.7091064453125	505.4356384277344	0.06666667014360428	-29	-29	1082.5000000186265
518.18505859375	483.8070068359375	0.06666667014360428	-30	-16	1099.2000000551343
446.592529296875	474.3445129394531	0.06666667014360428	-53	-7	1115.6000000191852
391.2096252441406	487.8624572753906	0.06666667014360428	-41	10	1132.300000055693
333.1251220703125	533.8233032226562	0.06666667014360428	-43	34	1148.7999999662861
281.7946472167969	593.3019409179688	0.06666667014360428	-38	44	1165.599999949336
239.91978454589844	654.1324462890625	0.06666667014360428	-31	45	1182.2000000393018
214.25453186035156	714.962890625	0.06666667014360428	-19	45	1198.8999999593943
193.99253845214844	774.441650390625	0.06666667014360428	-15	44	1215.5999999959022
181.8352813720703	828.51318359375	0.06666667014360428	-9	40	1232.30000003241
181.8352813720703	886.64013671875	0.06666667014360428	0	43	1248.9000000059605
193.99253845214844	950.17431640625	0.06666667014360428	9	47	1265.499999979511
225.06097412109375	1011.004638671875	0.06666667014360428	23	45	1282.2000000160187
276.3914489746094	1069.1317138671875	0.06666667014360428	38	43	1298.9999999990687
