posX	posY	pressure	movementX	movementY	time
457.42291259765625	1284.845703125	0.08235294371843338	54	8	1331.199999898672
525.289794921875	1280.7706298828125	0.08235294371843338	50	-3	1347.89999993518
586.3699951171875	1250.8875732421875	0.08235294371843338	45	-22	1364.5999999716878
632.5195922851562	1192.4791259765625	0.08235294371843338	34	-43	1381.4999999012798
666.4529418945312	1062.0797119140625	0.08235294371843338	25	-96	1397.9999999282882
666.4529418945312	965.6383056640625	0.08235294371843338	0	-71	1414.4999999552965
651.5221557617188	869.1969604492188	0.08235294371843338	-11	-71	1431.1999999918044
629.8048095703125	780.9054565429688	0.08235294371843338	-16	-65	1447.6999999023974
595.8713989257812	702.122314453125	0.08235294371843338	-25	-58	1464.5000000018626
556.5086059570312	636.9224853515625	0.08235294371843338	-29	-48	1481.1999999219552
515.7884521484375	585.3060302734375	0.08235294371843338	-30	-38	1497.899999958463
470.99627685546875	554.064453125	0.08235294371843338	-33	-23	1514.5999999949709
416.7027893066406	541.8394165039062	0.08235294371843338	-40	-9	1531.099999905564
359.6945495605469	543.1978149414062	0.08235294371843338	-42	1	1547.7999999420717
308.1157531738281	562.2144165039062	0.08235294371843338	-38	14	1564.4999999785796
253.8222198486328	602.96435546875	0.08235294371843338	-40	30	1581.2999999616295
207.67271423339844	658.65576171875	0.08235294371843338	-34	41	1597.9999999981374
169.667236328125	727.9306640625	0.08235294371843338	-28	51	1614.9999999906868
139.80581665039062	843.3885498046875	0.08235294371843338	-22	85	1631.4999999012798
135.73379516601562	920.8134155273438	0.08235294371843338	-3	57	1647.7999999187887
142.52049255371094	994.1632690429688	0.08235294371843338	5	54	1664.399999892339
161.52320861816406	1063.43798828125	0.08235294371843338	14	51	1681.099999928847
192.74200439453125	1125.9212646484375	0.08235294371843338	23	46	1697.7999999653548
234.81948852539062	1180.25439453125	0.08235294371843338	31	40	1714.5000000018626
282.3262939453125	1229.1541748046875	0.08235294371843338	35	36	1731.099999975413
332.54779052734375	1261.754150390625	0.08235294371843338	37	24	1747.7999998955056
381.4119567871094	1278.053955078125	0.08235294371843338	36	12	1764.4999999320135
427.5614318847656	1286.2041015625	0.08235294371843338	34	6	1780.9999999590218
470.99627685546875	1286.2041015625	0.08235294371843338	32	0	1797.9000000050291
514.4310302734375	1280.7706298828125	0.08235294371843338	32	-4	1814.4999999785796
557.8659057617188	1260.395751953125	0.08235294371843338	32	-15	1831.09999995213
599.9434204101562	1218.28759765625	0.08235294371843338	31	-31	1847.7999999886379
637.9489135742188	1161.2376708984375	0.08235294371843338	28	-42	1864.6999999182299
667.810302734375	1097.3963623046875	0.08235294371843338	22	-47	1881.1999999452382
696.314453125	990.0882568359375	0.08235294371843338	21	-79	1897.7999999187887
704.4583740234375	915.3800659179688	0.08235294371843338	6	-55	1914.4999999552965
700.386474609375	837.9552612304688	0.08235294371843338	-3	-57	1930.9999999823049
681.3836669921875	761.8887939453125	0.08235294371843338	-14	-56	1947.7999999653548
644.735595703125	691.2557983398438	0.08235294371843338	-27	-52	1964.3999999389052
601.30078125	630.130859375	0.08235294371843338	-32	-45	1981.099999975413
556.5086059570312	585.3060302734375	0.08235294371843338	-33	-33	1997.6999999489635
511.7164001464844	555.4227905273438	0.08235294371843338	-33	-22	2014.3999999854714
465.56695556640625	537.7644653320312	0.08235294371843338	-34	-13	2031.099999905564
415.3454284667969	532.3311157226562	0.08235294371843338	-37	-4	2047.6999999955297
365.1239013671875	533.689453125	0.08235294371843338	-37	1	2064.4999999785796
323.0464172363281	544.5560913085938	0.08235294371843338	-31	8	2081.09999995213
279.61163330078125	577.156005859375	0.08235294371843338	-32	24	2097.89999993518
236.17681884765625	631.4891967773438	0.08235294371843338	-32	40	2114.4999999087304
190.02731323242188	740.1556396484375	0.08235294371843338	-34	80	2131.3999999547377
169.667236328125	816.2221069335938	0.08235294371843338	-15	56	2147.6999999722466
161.52320861816406	896.3634643554688	0.08235294371843338	-6	59	2164.399999892339
162.8805389404297	973.7882690429688	0.08235294371843338	1	57	2181.1999999918044
175.09661865234375	1043.0631103515625	0.08235294371843338	9	51	2197.899999911897
198.1713409423828	1101.4713134765625	0.08235294371843338	17	43	2214.299999992363
234.81948852539062	1146.296142578125	0.08235294371843338	27	33	2231.099999975413
275.53961181640625	1177.5377197265625	0.08235294371843338	30	23	2247.7999998955056
323.0464172363281	1197.91259765625	0.08235294371843338	35	15	2264.3999999854714
375.9826354980469	1214.212646484375	0.08235294371843338	39	12	2281.099999905564
431.63348388671875	1222.3626708984375	0.08235294371843338	41	6	2298.0999998981133
484.5696716308594	1222.3626708984375	0.08235294371843338	39	0	2314.399999915622
533.4337768554688	1215.5709228515625	0.08235294371843338	36	-5	2331.199999898672
576.86865234375	1188.4044189453125	0.08235294371843338	32	-20	2348.299999954179
631.1621704101562	1102.8294677734375	0.08235294371843338	40	-63	2364.69999991823
655.59423828125	1028.1214599609375	0.08235294371843338	18	-55	2380.9999999357387
673.2396240234375	949.3383178710938	0.08235294371843338	13	-58	2397.7999999187887
680.0263061523438	867.8384399414062	0.08235294371843338	5	-60	2414.399999892339
674.5969848632812	789.0554809570312	0.08235294371843338	-4	-58	2430.999999982305
659.666259765625	717.0640258789062	0.08235294371843338	-11	-53	2447.799999965355
633.8768310546875	650.505859375	0.08235294371843338	-19	-49	2464.3999999389052
598.5861206054688	598.8892822265625	0.08235294371843338	-26	-38	2481.099999975413
560.58056640625	560.8561401367188	0.08235294371843338	-28	-28	2497.7999998955056
521.2177734375	537.7644653320312	0.08235294371843338	-29	-17	2514.4999999320135
480.49761962890625	526.8978271484375	0.08235294371843338	-30	-8	2531.399999978021
434.34820556640625	525.5394897460938	0.08235294371843338	-34	-1	2547.5999999325722
384.12664794921875	536.4061889648438	0.08235294371843338	-37	8	2564.699999988079
331.1904602050781	566.2894287109375	0.08235294371843338	-39	22	2581.599999917671
278.2543029785156	613.8309326171875	0.08235294371843338	-39	35	2598.200000007637
229.39012145996094	666.8057250976562	0.08235294371843338	-36	39	2614.8999999277294
185.95529174804688	748.3055419921875	0.08235294371843338	-32	60	2630.9999999357387
166.95257568359375	806.7137451171875	0.08235294371843338	-14	43	2647.6999999722466
160.16587829589844	869.1969604492188	0.08235294371843338	-5	46	2664.199999999255
165.59523010253906	934.396728515625	0.08235294371843338	4	48	2680.999999982305
187.3126678466797	998.2381591796875	0.08235294371843338	16	47	2697.799999965355
228.03280639648438	1058.004638671875	0.08235294371843338	30	44	2714.3999999389052
276.89697265625	1106.904541015625	0.08235294371843338	36	36	2730.9999999124557
331.1904602050781	1143.579345703125	0.08235294371843338	40	27	2747.7999998955056
385.4840087890625	1170.74609375	0.08235294371843338	40	20	2764.3999999854714
437.06280517578125	1187.0460205078125	0.08235294371843338	38	12	2781.099999905564
483.2123107910156	1193.837646484375	0.08235294371843338	34	5	2797.6999999955297
519.8604736328125	1192.4791259765625	0.08235294371843338	27	-1	2814.399999915622
548.3645629882812	1185.687744140625	0.08235294371843338	21	-5	2831.09999995213
575.5113525390625	1157.162841796875	0.08235294371843338	20	-21	2847.799999988638
610.8021240234375	1060.7213134765625	0.08235294371843338	26	-71	2864.3999999621883
623.0181884765625	979.2215576171875	0.08235294371843338	9	-60	2880.9999999357387
631.1621704101562	895.005126953125	0.08235294371843338	6	-62	2897.6999999722466
632.5195922851562	810.7887573242188	0.08235294371843338	1	-62	2914.299999945797
627.090087890625	730.6472778320312	0.08235294371843338	-4	-59	2930.999999982305
610.8021240234375	660.0140991210938	0.08235294371843338	-12	-52	2947.6999999023974
576.86865234375	600.24755859375	0.08235294371843338	-25	-44	2964.3999999389052
533.4337768554688	552.7061157226562	0.08235294371843338	-32	-35	2981.099999975413
489.9989929199219	522.8228149414062	0.08235294371843338	-32	-22	2997.6999999489635
441.1348571777344	509.2395935058594	0.08235294371843338	-36	-10	3014.4999999320135
389.5559997558594	506.5229187011719	0.08235294371843338	-38	-2	3030.999999959022
339.33447265625	513.3145141601562	0.08235294371843338	-37	5	3047.6999999955297
291.8276672363281	539.122802734375	0.08235294371843338	-35	19	3064.4999999785796
240.24880981445312	585.3060302734375	0.08235294371843338	-38	34	3081.2999999616295
199.5286865234375	642.3557739257812	0.08235294371843338	-30	42	3098.299999954179
150.6645050048828	746.947265625	0.08235294371843338	-36	77	3114.3999999621883
135.73379516601562	821.6554565429688	0.08235294371843338	-11	55	3131.099999998696
131.66177368164062	896.3634643554688	0.08235294371843338	-3	55	3147.6999999722466
135.73379516601562	966.9966430664062	0.08235294371843338	3	52	3164.399999892339
156.0938720703125	1036.271484375	0.08235294371843338	15	51	3181.1999999918044
194.09934997558594	1097.3963623046875	0.08235294371843338	28	45	3197.6999999023974
238.8914794921875	1144.937744140625	0.08235294371843338	33	35	3214.299999992363
287.75567626953125	1177.5377197265625	0.08235294371843338	36	24	3230.9999999124557
339.33447265625	1199.27099609375	0.08235294371843338	38	16	3247.6999999489635
390.9133605957031	1215.5709228515625	0.08235294371843338	38	12	3264.299999922514
439.7774963378906	1225.0792236328125	0.08235294371843338	36	7	3280.999999959022
484.5696716308594	1226.4376220703125	0.08235294371843338	33	1	3297.6999999955297
525.289794921875	1222.3626708984375	0.08235294371843338	30	-3	3314.4999999785796
560.58056640625	1207.4207763671875	0.08235294371843338	26	-11	3331.499999971129
609.4447631835938	1136.7877197265625	0.08235294371843338	36	-52	3348.0999999446794
631.1621704101562	1067.5130615234375	0.08235294371843338	16	-51	3364.299999899231
643.3782348632812	996.8798828125	0.08235294371843338	9	-52	3380.9999999357387
644.735595703125	928.9634399414062	0.08235294371843338	1	-50	3397.6999999722466
639.30615234375	861.0468139648438	0.08235294371843338	-4	-50	3414.199999999255
627.090087890625	794.4887084960938	0.08235294371843338	-9	-49	3430.999999982305
601.30078125	729.2888793945312	0.08235294371843338	-19	-48	3447.6999999023974
